epoch,phase,loss,accuracy
0,val,0.6953220367431641,0.484375
0,val,0.6894826292991638,0.5487805008888245
0,train,0.718919575214386,0.3333333432674408
1,val,0.6916334629058838,0.5487805008888245
1,train,0.6937596201896667,0.375
2,val,0.6883940696716309,0.5325203537940979
2,train,0.6850989460945129,0.5416666865348816
3,val,0.6899471282958984,0.5325203537940979
3,train,0.6976044774055481,0.4166666567325592
4,val,0.6887343525886536,0.5325203537940979
4,train,0.6935074925422668,0.5
5,val,0.6896427273750305,0.5325203537940979
5,train,0.6938493251800537,0.4166666567325592
6,val,0.6872698664665222,0.5325203537940979
6,train,0.6989918351173401,0.4166666567325592
7,val,0.6854539513587952,0.5325203537940979
7,train,0.6790980696678162,0.5416666865348816
8,val,0.683857798576355,0.5406504273414612
8,train,0.6765255928039551,0.625
9,val,0.6776370406150818,0.5487805008888245
9,train,0.705427348613739,0.5833333134651184
10,val,0.6750712394714355,0.5528455376625061
10,train,0.6743331551551819,0.5416666865348816
11,val,0.6764387488365173,0.5325203537940979
11,train,0.6765120625495911,0.5833333134651184
12,val,0.6668730974197388,0.6016260385513306
12,train,0.6977991461753845,0.6666666865348816
13,val,0.6618566513061523,0.5406504273414612
13,train,0.6758002638816833,0.5833333134651184
14,val,0.6630169749259949,0.5487805008888245
14,train,0.6615646481513977,0.5833333134651184
15,val,0.6569140553474426,0.5406504273414612
15,train,0.6103420853614807,0.625
16,val,0.6571658849716187,0.6707317233085632
16,train,0.6081022024154663,0.7083333134651184
17,val,0.6585757732391357,0.6666666865348816
17,train,0.6605839729309082,0.5833333134651184
18,val,0.6706569194793701,0.6341463327407837
18,train,0.609849214553833,0.7916666865348816
19,val,0.6464409828186035,0.5894308686256409
19,train,0.6865591406822205,0.4583333432674408
20,val,0.6377754807472229,0.6666666865348816
20,train,0.5782403349876404,0.7083333134651184
21,val,0.6341997981071472,0.6585366129875183
21,train,0.719556987285614,0.4583333432674408
22,val,0.6400789618492126,0.6504064798355103
22,train,0.6490868926048279,0.6666666865348816
23,val,0.6253917217254639,0.6504064798355103
23,train,0.6201122403144836,0.6666666865348816
24,val,0.6386641263961792,0.6016260385513306
24,train,0.6226635575294495,0.7083333134651184
25,val,0.639162540435791,0.6707317233085632
25,train,0.6834165453910828,0.5833333134651184
26,val,0.639162540435791,0.5325203537940979
26,train,0.7048697471618652,0.4583333432674408
27,val,0.6276122331619263,0.6544715166091919
27,train,0.6583068370819092,0.625
28,val,0.6254832148551941,0.6747967600822449
28,train,0.6176676154136658,0.7083333134651184
29,val,0.6190877556800842,0.6869918704032898
29,train,0.7230939269065857,0.5833333134651184
30,val,0.6366240978240967,0.6707317233085632
30,train,0.6351671814918518,0.5
31,val,0.6155669093132019,0.6869918704032898
31,train,0.7216935157775879,0.5833333134651184
32,val,0.6210553050041199,0.6747967600822449
32,train,0.6399361491203308,0.625
33,val,0.5992119908332825,0.6788617968559265
33,train,0.6021305322647095,0.6666666865348816
34,val,0.6330066323280334,0.6585366129875183
34,train,0.5678353905677795,0.7083333134651184
35,val,0.5934780836105347,0.6504064798355103
35,train,0.6244741082191467,0.6666666865348816
36,val,0.6029199361801147,0.6910569071769714
36,train,0.5914909839630127,0.625
37,val,0.6007441282272339,0.6707317233085632
37,train,0.5465360879898071,0.7083333134651184
38,val,0.5932741761207581,0.6707317233085632
38,train,0.6053534150123596,0.6666666865348816
39,val,0.5868626832962036,0.6829268336296082
39,train,0.654172956943512,0.6666666865348816
40,val,0.5833272337913513,0.6707317233085632
40,train,0.5548487305641174,0.7916666865348816
41,val,0.6104692220687866,0.6869918704032898
41,train,0.609656810760498,0.6666666865348816
42,val,0.5901410579681396,0.6707317233085632
42,train,0.5856772065162659,0.75
43,val,0.578676700592041,0.6788617968559265
43,train,0.6171429753303528,0.6666666865348816
44,val,0.5804346799850464,0.6788617968559265
44,train,0.4489646852016449,0.9166666865348816
45,val,0.5826098918914795,0.6626016497612
45,train,0.46446964144706726,0.7916666865348816
46,val,0.5888758897781372,0.6951219439506531
46,train,0.6602685451507568,0.625
47,val,0.6185129284858704,0.6626016497612
47,train,0.4730924665927887,0.75
48,val,0.5833348631858826,0.6707317233085632
48,train,0.62242192029953,0.625
49,val,0.576130211353302,0.7032520174980164
49,train,0.7106648087501526,0.625
50,val,0.5750048756599426,0.6951219439506531
50,train,0.5908218026161194,0.7083333134651184
51,val,0.5710559487342834,0.6626016497612
51,train,0.6072690486907959,0.6666666865348816
52,val,0.5759425163269043,0.6747967600822449
52,train,0.6118366122245789,0.5833333134651184
53,val,0.5753213167190552,0.6788617968559265
53,train,0.624097466468811,0.5416666865348816
54,val,0.6005122065544128,0.6869918704032898
54,train,0.5086812376976013,0.7083333134651184
55,val,0.5797762870788574,0.6910569071769714
55,train,0.5776845812797546,0.75
56,val,0.5712432861328125,0.6788617968559265
56,train,0.6061928868293762,0.625
57,val,0.6074211597442627,0.6829268336296082
57,train,0.6209933757781982,0.6666666865348816
58,val,0.5750449299812317,0.6829268336296082
58,train,0.5951469540596008,0.75
59,val,0.5759183168411255,0.6829268336296082
59,train,0.6167356967926025,0.7916666865348816
60,val,0.5711724162101746,0.6626016497612
60,train,0.44495341181755066,0.7916666865348816
61,val,0.5742108225822449,0.6666666865348816
61,train,0.6234398484230042,0.5833333134651184
62,val,0.5701450705528259,0.7032520174980164
62,train,0.5117342472076416,0.7916666865348816
63,val,0.5689343214035034,0.6910569071769714
63,train,0.47783252596855164,0.7916666865348816
64,val,0.5864186882972717,0.6951219439506531
64,train,0.5820682048797607,0.75
65,val,0.5753249526023865,0.6666666865348816
65,train,0.49626079201698303,0.8333333134651184
66,val,0.5846859812736511,0.707317054271698
66,train,0.5114710927009583,0.75
67,val,0.6082638502120972,0.6869918704032898
67,train,0.5181124210357666,0.7916666865348816
68,val,0.5761921405792236,0.6991869807243347
68,train,0.7828426957130432,0.5833333134651184
69,val,0.5724029541015625,0.6788617968559265
69,train,0.4689359664916992,0.7916666865348816
70,val,0.5733984112739563,0.6951219439506531
70,train,0.627549946308136,0.625
71,val,0.5672832131385803,0.6991869807243347
71,train,0.5035988688468933,0.8333333134651184
72,val,0.5666033625602722,0.6951219439506531
72,train,0.5882379412651062,0.7083333134651184
73,val,0.5640537142753601,0.7235772609710693
73,train,0.6707961559295654,0.625
74,val,0.5666607022285461,0.6991869807243347
74,train,0.5916531682014465,0.5416666865348816
75,val,0.570942223072052,0.707317054271698
75,train,0.5476697087287903,0.7083333134651184
76,val,0.5804561376571655,0.7032520174980164
76,train,0.6505367755889893,0.6666666865348816
77,val,0.5772916078567505,0.6910569071769714
77,train,0.5583702921867371,0.7083333134651184
78,val,0.5986553430557251,0.6951219439506531
78,train,0.35916420817375183,0.9583333134651184
79,val,0.5688720941543579,0.6910569071769714
79,train,0.7207410931587219,0.6666666865348816
80,val,0.5656106472015381,0.6951219439506531
80,train,0.6175137758255005,0.7083333134651184
81,val,0.5796554088592529,0.6910569071769714
81,train,0.6724905967712402,0.6666666865348816
82,val,0.5675515532493591,0.7032520174980164
82,train,0.4758017957210541,0.7916666865348816
83,val,0.563869297504425,0.6951219439506531
83,train,0.6261039972305298,0.7083333134651184
84,val,0.5678669214248657,0.6991869807243347
84,train,0.5573989152908325,0.8333333134651184
85,val,0.569477915763855,0.6991869807243347
85,train,0.5297829508781433,0.75
86,val,0.5677039623260498,0.7113820910453796
86,train,0.6053023934364319,0.75
87,val,0.5958454608917236,0.6788617968559265
87,train,0.5541073679924011,0.6666666865348816
88,val,0.5853683352470398,0.6626016497612
88,train,0.5746302008628845,0.6666666865348816
89,val,0.5762594938278198,0.707317054271698
89,train,0.5625136494636536,0.625
90,val,0.5641800761222839,0.6910569071769714
90,train,0.7293086647987366,0.4583333432674408
91,val,0.5606250762939453,0.707317054271698
91,train,0.5041475296020508,0.75
92,val,0.5785658955574036,0.6869918704032898
92,train,0.6470230221748352,0.6666666865348816
93,val,0.5736398696899414,0.6991869807243347
93,train,0.7235884070396423,0.5416666865348816
94,val,0.5645407438278198,0.6951219439506531
94,train,0.6831746697425842,0.625
95,val,0.5753645300865173,0.6991869807243347
95,train,0.5658332109451294,0.7083333134651184
96,val,0.5719965100288391,0.6869918704032898
96,train,0.48433172702789307,0.75
97,val,0.563620924949646,0.6991869807243347
97,train,0.56746506690979,0.7083333134651184
98,val,0.5621363520622253,0.6991869807243347
98,train,0.5696931481361389,0.75
99,val,0.5755046606063843,0.6829268336296082
99,train,0.5221018195152283,0.7083333134651184
